metric,category,n,pearson_r,pearson_p,spearman_rho,spearman_p
temp_var_count,dsl_structure,150,0.2643900605777588,0.0010777842673767753,0.3144063698966792,8.917509649163911e-05
assignment_count,dsl_structure,150,0.2643900605777588,0.0010777842673767753,0.3144063698966792,8.917509649163911e-05
ast_call_count,dsl_structure,150,0.2643900605777588,0.0010777842673767753,0.3144063698966792,8.917509649163911e-05
source_line_count,python_static,150,0.2643900605777588,0.0010777842673767753,0.3144063698966792,8.917509649163911e-05
max_dependency_depth,dsl_structure,150,0.2634910552308088,0.0011225358424970468,0.2809322132179629,0.0004970889862332748
named_call_count,dsl_structure,150,0.2556443470345506,0.0015916346003913503,0.3046959883175686,0.00014999302475602588
dsl_complexity_pc1,composite,150,0.2552222027238935,0.001621330926104099,0.328273323424679,4.111597556179376e-05
bundle_distinct_function_count_dynamic,dynamic_execution,150,0.25244065224838597,0.001829959932250676,0.3274931267813216,4.298971010647996e-05
dsl_distinct_function_count_dynamic,dynamic_execution,150,0.25244065224838597,0.001829959932250676,0.3274931267813216,4.298971010647996e-05
distinct_primitive_count,dsl_structure,150,0.2218172370715802,0.0063711985836091955,0.2366893287607528,0.0035438729838184516
set_op_count,dsl_structure,150,0.22087323880380894,0.0066049270914959055,0.23102451077659125,0.004449881603909648
bundle_opcode_count_dynamic,dynamic_execution,150,0.2160246958029353,0.007929805013167328,0.2893897646869651,0.0003283964716923553
