task_id,compressarc_top1_solved,compressarc_top2_solved,compressarc_top1_failure,compressarc_top2_failure
007bbfb7,0,0,1,1
00d62c1b,0,0,1,1
017c7c7b,0,0,1,1
025d127b,1,1,0,0
045e512c,0,0,1,1
0520fde7,0,0,1,1
05269061,1,1,0,0
05f2a901,0,0,1,1
06df4c85,1,1,0,0
08ed6ac7,1,1,0,0
09629e4f,0,0,1,1
0962bcdd,1,1,0,0
0a938d79,0,0,1,1
0b148d64,1,1,0,0
0ca9ddb6,1,1,0,0
0d3d703e,0,0,1,1
0dfd9992,1,1,0,0
0e206a2e,0,0,1,1
10fcaaa3,0,0,1,1
11852cab,0,0,1,1
1190e5a7,0,0,1,1
137eaa0f,0,0,1,1
150deff5,0,0,1,1
178fcbfb,0,0,1,1
1a07d186,0,0,1,1
1b2d62fb,0,0,1,1
1b60fb0c,0,0,1,1
1bfc4729,1,1,0,0
1c786137,1,1,0,0
1caeab9d,0,0,1,1
1cf80156,0,0,1,1
1e0a9b12,0,0,1,1
1e32b0e9,0,0,1,1
1f0c79e5,0,0,1,1
1f642eb9,1,1,0,0
1f85a75f,0,0,1,1
1f876c06,0,1,1,0
1fad071e,0,0,1,1
2013d3e2,0,0,1,1
2204b7a8,0,1,1,0
22168020,1,1,0,0
22233c11,0,0,1,1
2281f1f4,0,1,1,0
228f6490,0,1,1,0
22eb0ac0,1,1,0,0
234bbc79,0,0,1,1
23581191,1,1,0,0
239be575,0,0,1,1
23b5c85d,0,0,1,1
253bf280,0,0,1,1
25d487eb,1,1,0,0
25d8a9c8,1,1,0,0
25ff71a9,0,0,1,1
264363fd,0,0,1,1
272f95fa,1,1,0,0
27a28665,0,0,1,1
28bf18c6,0,0,1,1
28e73c20,0,0,1,1
29623171,0,0,1,1
29c11459,0,0,1,1
29ec7d0e,1,1,0,0
2bcee788,0,0,1,1
2bee17df,0,0,1,1
2c608aff,0,1,1,0
2dc579da,0,0,1,1
2dd70a9a,0,0,1,1
2dee498d,0,0,1,1
31aa019c,0,0,1,1
321b1fc6,0,0,1,1
32597951,1,1,0,0
3345333e,0,0,1,1
3428a4f5,0,0,1,1
3618c87e,1,1,0,0
3631a71a,0,0,1,1
363442ee,0,0,1,1
36d67576,0,0,1,1
36fdfd69,1,1,0,0
3906de3d,0,0,1,1
39a8645d,0,0,1,1
39e1d7f9,0,0,1,1
3aa6fb7a,1,1,0,0
3ac3eb23,1,1,0,0
3af2c5a8,0,0,1,1
3bd67248,1,1,0,0
3bdb4ada,1,1,0,0
3befdf3e,0,0,1,1
3c9b0459,1,1,0,0
3de23699,0,0,1,1
3e980e27,0,0,1,1
3eda0437,1,1,0,0
3f7978a0,0,0,1,1
40853293,1,1,0,0
4093f84a,0,0,1,1
41e4d17e,1,1,0,0
4258a5f9,1,1,0,0
4290ef0e,0,0,1,1
42a50994,1,1,0,0
4347f46a,1,1,0,0
444801d8,1,1,0,0
445eab21,1,1,0,0
447fd412,0,0,1,1
44d8ac46,0,0,1,1
44f52bb0,0,1,1,0
4522001f,0,0,1,1
4612dd53,1,1,0,0
46442a0e,0,0,1,1
469497ad,0,0,1,1
46f33fce,0,0,1,1
47c1f68c,0,0,1,1
484b58aa,1,1,0,0
48d8fb45,1,1,0,0
4938f0c2,0,0,1,1
496994bd,0,0,1,1
49d1d64f,0,0,1,1
4be741c5,0,0,1,1
4c4377d9,0,0,1,1
4c5c2cf0,0,0,1,1
50846271,0,0,1,1
508bd3b6,0,0,1,1
50cb2852,0,1,1,0
5117e062,1,1,0,0
5168d44c,0,0,1,1
539a4f51,0,0,1,1
53b68214,0,0,1,1
543a7ed5,1,1,0,0
54d82841,1,1,0,0
54d9e175,0,0,1,1
5521c0d9,0,0,1,1
5582e5ca,1,1,0,0
5614dbcf,0,0,1,1
56dc2b01,0,0,1,1
56ff96f3,1,1,0,0
57aa92db,0,0,1,1
5ad4f10b,0,0,1,1
5bd6f4ac,1,1,0,0
5c0a986e,1,1,0,0
5c2c9af4,0,0,1,1
5daaa586,0,0,1,1
60b61512,1,1,0,0
6150a2bd,0,1,1,0
623ea044,1,1,0,0
62c24649,0,0,1,1
63613498,0,0,1,1
6430c8c4,0,0,1,1
6455b5f5,0,0,1,1
662c240a,0,0,1,1
67385a82,1,1,0,0
673ef223,0,0,1,1
6773b310,0,0,1,1
67a3c6ac,0,0,1,1
67a423a3,1,1,0,0
67e8384a,0,0,1,1
681b3aeb,0,0,1,1
6855a6e4,0,0,1,1
68b16354,0,0,1,1
694f12f3,1,1,0,0
6a1e5592,0,0,1,1
6aa20dc0,0,0,1,1
6b9890af,0,0,1,1
6c434453,1,1,0,0
6cdd2623,1,1,0,0
6cf79266,0,1,1,0
6d0160f0,0,0,1,1
6d0aefbc,0,0,1,1
6d58a25d,0,0,1,1
6d75e8bb,1,1,0,0
6e02f1e3,0,0,1,1
6e19193c,0,0,1,1
6e82a1ae,0,0,1,1
6ecd11f4,0,0,1,1
6f8cd79b,1,1,0,0
6fa7a44f,0,0,1,1
72322fa7,0,0,1,1
72ca375d,0,0,1,1
73251a56,1,1,0,0
7447852a,0,0,1,1
7468f01a,0,0,1,1
746b3537,0,0,1,1
74dd1130,1,1,0,0
75b8110e,0,0,1,1
760b3cac,0,0,1,1
776ffc46,0,0,1,1
77fdfe62,0,0,1,1
780d0b14,0,0,1,1
7837ac64,0,0,1,1
794b24be,0,1,1,0
7b6016b9,0,0,1,1
7b7f7511,0,1,1,0
7c008303,0,0,1,1
7ddcd7ec,0,0,1,1
7df24a62,0,0,1,1
7e0986d6,1,1,0,0
7f4411dc,0,1,1,0
7fe24cdd,0,0,1,1
80af3007,0,0,1,1
810b9b61,0,0,1,1
82819916,0,0,1,1
83302e8f,0,0,1,1
834ec97d,0,0,1,1
8403a5d5,0,0,1,1
846bdb03,0,0,1,1
855e0971,1,1,0,0
85c4e7cd,0,0,1,1
868de0fa,0,0,1,1
8731374e,1,1,0,0
88a10436,0,0,1,1
88a62173,0,0,1,1
890034e9,0,0,1,1
8a004b2b,0,0,1,1
8be77c9e,0,0,1,1
8d5021e8,0,0,1,1
8d510a79,0,0,1,1
8e1813be,0,0,1,1
8e5a5113,0,0,1,1
8eb1be9a,0,0,1,1
8efcae92,0,0,1,1
8f2ea7aa,0,0,1,1
90c28cc7,0,0,1,1
90f3ed37,0,0,1,1
913fb3ed,0,0,1,1
91413438,0,0,1,1
91714a58,1,1,0,0
9172f3a0,0,0,1,1
928ad970,1,1,0,0
93b581b8,1,1,0,0
941d9a10,1,1,0,0
94f9d214,0,0,1,1
952a094c,1,1,0,0
9565186b,0,0,1,1
95990924,0,1,1,0
963e52fc,0,0,1,1
97999447,0,1,1,0
97a05b5b,0,0,1,1
98cf29f8,0,0,1,1
995c5fa3,0,0,1,1
99b1bc43,0,0,1,1
99fa7670,1,1,0,0
9aec4887,0,0,1,1
9af7a82c,0,0,1,1
9d9215db,0,0,1,1
9dfd6313,0,0,1,1
9ecd008a,0,0,1,1
9edfc990,0,0,1,1
9f236235,0,0,1,1
a1570a43,0,0,1,1
a2fd1cf0,1,1,0,0
a3325580,0,0,1,1
a3df8b1e,0,0,1,1
a416b8f3,0,0,1,1
a48eeaf7,0,0,1,1
a5313dff,1,1,0,0
a5f85a15,0,1,1,0
a61ba2ce,1,1,0,0
a61f2674,1,1,0,0
a64e4611,1,1,0,0
a65b410d,0,1,1,0
a68b268e,0,0,1,1
a699fb00,1,1,0,0
a740d043,0,0,1,1
a78176bb,0,0,1,1
a79310a0,0,0,1,1
a85d4709,0,0,1,1
a87f7484,1,1,0,0
a8c38be5,0,0,1,1
a8d7556c,0,0,1,1
a9f96cdd,1,1,0,0
aabf363d,1,1,0,0
aba27056,0,0,1,1
ac0a08a4,0,0,1,1
ae3edfdc,0,1,1,0
ae4f1146,0,0,1,1
aedd82e4,1,1,0,0
af902bf9,1,1,0,0
b0c4d837,0,0,1,1
b190f7f5,0,0,1,1
b1948b0a,1,1,0,0
b230c067,0,0,1,1
b27ca6d3,0,0,1,1
b2862040,0,0,1,1
b527c5c6,0,0,1,1
b548a754,1,1,0,0
b60334d2,1,1,0,0
b6afb2da,1,1,0,0
b7249182,0,0,1,1
b775ac94,0,0,1,1
b782dc8a,0,0,1,1
b8825c91,1,1,0,0
b8cdaf2b,0,0,1,1
b91ae062,0,0,1,1
b94a9452,1,1,0,0
b9b7f026,1,1,0,0
ba26e723,0,1,1,0
ba97ae07,1,1,0,0
