metric,category,outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p
prim_color_count,dsl_primitive_usage,compressarc_top1_failure,18,0.35675303400633795,0.14615638864468966,0.35675303400633784,0.14615638864469
prim_switch_count,dsl_primitive_usage,compressarc_top1_failure,7,0.34426518632954817,0.44956619899572464,0.3944053188733077,0.3812751507821026
prim_insert_count,dsl_primitive_usage,compressarc_top1_failure,14,0.3100515572378569,0.2806695447844464,0.383351029731984,0.1760503775666934
prim_toobject_count,dsl_primitive_usage,compressarc_top1_failure,10,0.2721655269759087,0.44681333411490864,0.2721655269759087,0.44681333411490853
prim_underfill_count,dsl_primitive_usage,compressarc_top1_failure,26,0.2672612419124244,0.18686540628979936,0.2850438562747845,0.15811437438061443
prim_pair_count,dsl_primitive_usage,compressarc_top1_failure,14,0.2533201985524494,0.3822008609364347,0.27097338139856736,0.34872816649942906
prim_mpapply_count,dsl_primitive_usage,compressarc_top1_failure,11,0.25264557631995577,0.45354174084847176,0.2872281323269015,0.3917715572560406
prim_equality_count,dsl_primitive_usage,compressarc_top1_failure,21,0.24485105343719588,0.28473983441176465,0.2837541751673138,0.21257432620040237
prim_height_count,dsl_primitive_usage,compressarc_top1_failure,26,0.24077170617153837,0.2360770461004083,0.24077170617153842,0.2360770461004081
prim_toivec_count,dsl_primitive_usage,compressarc_top1_failure,11,0.23904572186687872,0.47899685662438046,0.23904572186687875,0.4789968566243805
prim_mfilter_count,dsl_primitive_usage,compressarc_top1_failure,30,0.23814483610392004,0.2050570865845624,0.23814483610392012,0.20505708658456234
prim_colorfilter_count,dsl_primitive_usage,compressarc_top1_failure,55,0.2374290399669085,0.08090984351834199,0.2374290399669085,0.08090984351834198
prim_order_count,dsl_primitive_usage,compressarc_top1_failure,20,0.23312620206007845,0.3225851543611963,0.24883630089671976,0.2900870627348932
prim_greater_count,dsl_primitive_usage,compressarc_top1_failure,8,0.21821789023599236,0.6036450565101363,0.21821789023599236,0.6036450565101363
prim_mostcolor_count,dsl_primitive_usage,compressarc_top1_failure,18,0.21693045781865608,0.3872317470101919,0.2169304578186562,0.38723174701019214
prim_papply_count,dsl_primitive_usage,compressarc_top1_failure,17,0.2058830262863369,0.4279133088709406,0.16411223708939002,0.5290858071907298
prim_paint_count,dsl_primitive_usage,compressarc_top1_failure,109,0.19405512585143037,0.04318661415695055,0.22524991113302856,0.018526969260857798
prim_apply_count,dsl_primitive_usage,compressarc_top1_failure,109,0.18965358131947263,0.048247864913062606,0.27154365693942917,0.004287630031725678
prim_tojvec_count,dsl_primitive_usage,compressarc_top1_failure,15,0.18898223650461363,0.4999639789623678,0.18898223650461357,0.4999639789623681
bundle_opcode_count_dynamic,dynamic_execution,compressarc_top1_failure,391,0.18798975282503325,0.0001849437523215899,0.1781076525571075,0.00040178128307076885
solver_opcode_count_dynamic,dynamic_execution,compressarc_top1_failure,391,0.18798975282503325,0.0001849437523215899,0.1781076525571075,0.00040178128307076885
train_pairs,task_shape,compressarc_top1_failure,391,0.18700471332287127,0.00020017370957643222,0.18629819029645586,0.0002118118546257118
geometry_op_count,dsl_structure,compressarc_top1_failure,391,0.18690114729514257,0.00020184142346101297,0.21322945636805818,2.12023997767206e-05
prim_remove_count,dsl_primitive_usage,compressarc_top1_failure,24,0.18543452998910617,0.3856662184903814,0.18543452998910614,0.38566621849038185
prim_add_count,dsl_primitive_usage,compressarc_top1_failure,16,0.1854345299891061,0.49172319948199994,0.19694638556693236,0.4647242413915984
prim_lbind_count,dsl_primitive_usage,compressarc_top1_failure,95,0.1806540906656998,0.0797852335914187,0.06815650345371385,0.5116459630157806
prim_ulcorner_count,dsl_primitive_usage,compressarc_top1_failure,27,0.17935751349485982,0.3707019576414093,0.2088429664015157,0.29583159204813636
solver_python_call_count_dynamic,dynamic_execution,compressarc_top1_failure,391,0.1767231959499502,0.000446492276303574,0.18039471030910192,0.0003369375433320532
example_count,task_shape,compressarc_top1_failure,391,0.1767231959499502,0.000446492276303574,0.18039471030910192,0.0003369375433320532
prim_palette_count,dsl_primitive_usage,compressarc_top1_failure,20,0.1683451245853586,0.4780300567340892,0.16834512458535864,0.47803005673408905
prim_replace_count,dsl_primitive_usage,compressarc_top1_failure,57,0.15903346428196258,0.23735898114730497,0.13787911056954003,0.3064036199754205
prim_subgrid_count,dsl_primitive_usage,compressarc_top1_failure,54,0.15118578920369083,0.27515154121314733,0.15118578920369088,0.27515154121314694
bundle_opcode_per_input_cell,dynamic_execution,compressarc_top1_failure,391,0.14640705136968132,0.0037150789711726294,0.17587105699041633,0.00047626781702650233
named_call_count,dsl_structure,compressarc_top1_failure,391,0.14570927477311216,0.0038842168082468165,0.12375356701194555,0.014339142711427442
function_count,expanded_python_static,compressarc_top1_failure,391,0.14373729872443683,0.004400544121298142,0.1508561652247027,0.0027845763366773075
assignment_count,dsl_structure,compressarc_top1_failure,391,0.1437313283722026,0.004402197243632129,0.12385328019708816,0.01426018912332849
ast_call_count,dsl_structure,compressarc_top1_failure,391,0.1437313283722026,0.004402197243632129,0.12385328019708816,0.01426018912332849
temp_var_count,dsl_structure,compressarc_top1_failure,391,0.1437313283722026,0.004402197243632129,0.12385328019708816,0.01426018912332849
source_line_count,python_static,compressarc_top1_failure,391,0.1437313283722026,0.004402197243632129,0.12385328019708816,0.01426018912332849
prim_first_count,dsl_primitive_usage,compressarc_top1_failure,67,0.14355858985084016,0.24646477215820814,0.13958466343607537,0.25992271098914793
prim_multiply_count,dsl_primitive_usage,compressarc_top1_failure,16,0.14285714285714285,0.5976410865459366,0.14285714285714288,0.5976410865459358
prim_double_count,dsl_primitive_usage,compressarc_top1_failure,8,0.14285714285714282,0.7357648598798121,0.14285714285714285,0.7357648598798121
prim_width_count,dsl_primitive_usage,compressarc_top1_failure,31,0.14182715723279393,0.4466157361072958,0.14182715723279388,0.4466157361072959
nonblank_lines,expanded_python_static,compressarc_top1_failure,391,0.1413615004746265,0.00510442556585081,0.14197928198166296,0.004912253861971706
call_count_static,expanded_python_static,compressarc_top1_failure,391,0.13987856085790265,0.0055936287291044095,0.13706038075658042,0.006640849403281793
prim_totuple_count,dsl_primitive_usage,compressarc_top1_failure,17,0.1386750490563073,0.5955598372302707,0.13867504905630726,0.5955598372302717
prim_index_count,dsl_primitive_usage,compressarc_top1_failure,10,0.1351474756798972,0.7097057070984195,0.2151657414559676,0.5505168326655957
prim_chain_count,dsl_primitive_usage,compressarc_top1_failure,56,0.13452893372768077,0.32289843516657823,0.147566119641281,0.2777744682292047
token_count,expanded_python_static,compressarc_top1_failure,391,0.132742972462596,0.00858738152297105,0.133471785956401,0.008226792058646359
max_dependency_depth,dsl_structure,compressarc_top1_failure,391,0.13034105371996696,0.009877424846667971,0.12243566987998797,0.015419320771903128
halstead_volume,python_static,compressarc_top1_failure,391,0.12934375589977293,0.010461750368677638,0.12861895111311,0.010905439999005407
ast_node_count,expanded_python_static,compressarc_top1_failure,391,0.12802451113656346,0.011281677585521475,0.12653605392367256,0.012274570812845654
distinct_primitive_count,dsl_structure,compressarc_top1_failure,391,0.12801568917165415,0.011287346658409128,0.12502176562772627,0.0133630572396339
branch_node_count,python_static,compressarc_top1_failure,391,0.12725044528084947,0.01178879033032652,0.13733352369043136,0.006532171106819592
decision_op_count,dsl_structure,compressarc_top1_failure,391,0.12654103046255796,0.012271126602716132,0.13948059029417126,0.005731894435581459
prim_fork_count,dsl_primitive_usage,compressarc_top1_failure,101,0.1253052576479839,0.21182788021018645,0.05376336643995936,0.5933580485925857
prim_compose_count,dsl_primitive_usage,compressarc_top1_failure,124,0.12484343135680462,0.16711622333544077,0.16093156368756387,0.07416953992080623
prim_canvas_count,dsl_primitive_usage,compressarc_top1_failure,46,0.1237803040964895,0.41245922902073406,0.13499301575942443,0.37106821415014357
prim_hmirror_count,dsl_primitive_usage,compressarc_top1_failure,26,0.12309149097933274,0.5491309023036988,0.12309149097933274,0.549130902303699
prim_bottomhalf_count,dsl_primitive_usage,compressarc_top1_failure,13,0.12309149097933267,0.6886975361352146,0.12309149097933275,0.688697536135214
prim_crop_count,dsl_primitive_usage,compressarc_top1_failure,31,0.12228548420819674,0.5122463259892078,0.057265890429704015,0.7596110847460128
gzip_bytes,python_static,compressarc_top1_failure,391,0.1193424663415152,0.0182389122706512,0.12369293022896362,0.014387342916523431
halstead_effort,python_static,compressarc_top1_failure,391,0.11763839714055649,0.01997667597966886,0.12131551219700736,0.01639285802008431
prim_ofcolor_count,dsl_primitive_usage,compressarc_top1_failure,116,0.11373755382003314,0.2241091386632975,0.12173507926588399,0.1929932432555021
prim_tophalf_count,dsl_primitive_usage,compressarc_top1_failure,14,0.11322770341445951,0.6999386058115683,0.1132277034144596,0.6999386058115683
prim_last_count,dsl_primitive_usage,compressarc_top1_failure,18,0.10846522890932805,0.6683526387131731,0.10846522890932808,0.6683526387131727
prim_mapply_count,dsl_primitive_usage,compressarc_top1_failure,126,0.10406528814831592,0.24619550882199281,0.018177587922726435,0.8398963430099596
higher_order_count,dsl_structure,compressarc_top1_failure,391,0.10307387251344324,0.04164432975983282,0.06501393330211638,0.19955903777373182
prim_initset_count,dsl_primitive_usage,compressarc_top1_failure,16,0.09759000729485333,0.7191800105839852,0.09759000729485333,0.719180010583985
prim_rot270_count,dsl_primitive_usage,compressarc_top1_failure,16,0.09759000729485331,0.7191800105839852,0.09759000729485333,0.719180010583985
prim_shape_count,dsl_primitive_usage,compressarc_top1_failure,20,0.09637388493048535,0.686074073264044,0.09637388493048532,0.6860740732640442
prim_sfilter_count,dsl_primitive_usage,compressarc_top1_failure,64,0.09283166500858483,0.4656384663559342,0.055628529532859995,0.6624047757288225
prim_dmirror_count,dsl_primitive_usage,compressarc_top1_failure,18,0.08898825966347894,0.7254844054842855,-0.06033206989039656,0.812030765168194
bundle_distinct_function_count_dynamic,dynamic_execution,compressarc_top1_failure,391,0.0851348262526947,0.09274432793962573,0.06867740356858287,0.17533458046444356
dsl_distinct_function_count_dynamic,dynamic_execution,compressarc_top1_failure,391,0.0851348262526947,0.09274432793962573,0.06867740356858287,0.17533458046444356
dsl_complexity_pc1,composite,compressarc_top1_failure,391,0.08339088020954978,0.09965314010203773,0.08793528135304783,0.08245673412651032
cyclomatic_complexity,python_static,compressarc_top1_failure,391,0.08042297389672885,0.11234454590935788,0.08428057703005937,0.09607908669796726
prim_repeat_count,dsl_primitive_usage,compressarc_top1_failure,8,0.07273929674533076,0.8640941349883788,-0.0727392967453308,0.8640941349883787
set_op_count,dsl_structure,compressarc_top1_failure,391,0.06854297201077461,0.17618300970574663,-0.009080186425782817,0.8579550539025042
prim_upscale_count,dsl_primitive_usage,compressarc_top1_failure,23,0.06579516949597687,0.7654978135179876,0.0657951694959769,0.7654978135179868
prim_asobject_count,dsl_primitive_usage,compressarc_top1_failure,12,0.06119900613621045,0.8501426347323429,-0.38533731779422614,0.21608496161980695
prim_objects_count,dsl_primitive_usage,compressarc_top1_failure,216,0.06085791073435547,0.373433458617803,0.055135674722554734,0.42010609148336
prim_vconcat_count,dsl_primitive_usage,compressarc_top1_failure,33,0.06056282129726508,0.7377761585361818,0.03272800843953336,0.856519041600607
prim_shoot_count,dsl_primitive_usage,compressarc_top1_failure,14,0.056254395046301336,0.8485177287488319,0.06029704861784,0.8377587782585048
test_pairs,task_shape,compressarc_top1_failure,391,0.048537143154683327,0.3384403993398492,0.04012970832746094,0.42877369989661096
log1p_cyclomatic_complexity,expanded_python_static,compressarc_top1_failure,391,0.04821484573991837,0.34166145272494525,0.08428057703005937,0.09607908669796726
max_nesting_depth,python_static,compressarc_top1_failure,391,0.041779590009451806,0.4100232660637964,0.023956652351578282,0.6367388892826263
closure_call_count,dsl_structure,compressarc_top1_failure,391,0.039859368560454495,0.4318927116606241,0.0391304377988105,0.44036761782018674
complexity_pc1_score,expanded_composite,compressarc_top1_failure,391,0.03637011445688894,0.4733079475287508,0.06631908342846919,0.19066395629071203
input_cells_total,task_shape,compressarc_top1_failure,391,0.032133116631771215,0.5263937527141486,-0.01907894350002179,0.7068514283009928
prim_matcher_count,dsl_primitive_usage,compressarc_top1_failure,44,0.030919620705155262,0.8420744813085191,-0.012644513471471828,0.9350739095594858
prim_rbind_count,dsl_primitive_usage,compressarc_top1_failure,112,0.026892342843660377,0.7783576620171928,-0.014873552518774789,0.8763092078372705
prim_sizefilter_count,dsl_primitive_usage,compressarc_top1_failure,26,0.022271770159368723,0.9140019916218438,0.022271770159368702,0.9140019916218433
bundle_opcode_per_output_cell,dynamic_execution,compressarc_top1_failure,391,0.015986098722885957,0.7526760693043738,0.18079719303114639,0.00032658898225959934
selection_op_count,dsl_structure,compressarc_top1_failure,391,0.01134165182718359,0.8231029474717834,0.00024132797212369987,0.9962047377996586
prim_combine_count,dsl_primitive_usage,compressarc_top1_failure,34,0.0071611487403943665,0.9679377480118567,0.06947624719809774,0.6962170714178519
prim_power_count,dsl_primitive_usage,compressarc_top1_failure,12,1.3877787807814457e-17,1.0,0.0,1.0
prim_branch_count,dsl_primitive_usage,compressarc_top1_failure,50,1.1275702593849246e-17,1.0000000000000002,-0.07104470148046249,0.6239385916352076
prim_connect_count,dsl_primitive_usage,compressarc_top1_failure,8,0.0,1.0,-0.1454785934906616,0.7310518414346707
max_fan_in,dsl_structure,compressarc_top1_failure,391,-0.002604248113748633,0.9590618546477248,-0.008823805431009218,0.861925016089364
object_op_count,dsl_structure,compressarc_top1_failure,391,-0.012013981300095181,0.8128049206887784,-0.030554576278363218,0.5469186017757961
output_cells_total,task_shape,compressarc_top1_failure,391,-0.02104514962141141,0.6782484128409811,-0.05330317761485019,0.29308632671097606
peak_memory_per_input_cell,dynamic_execution,compressarc_top1_failure,391,-0.021676325840639936,0.6691611874999911,-0.0572020475691231,0.2591510153920252
prim_asindices_count,dsl_primitive_usage,compressarc_top1_failure,19,-0.05484543180953479,0.8235332315134076,-0.0548454318095348,0.823533231513407
prim_merge_count,dsl_primitive_usage,compressarc_top1_failure,66,-0.05816084299742322,0.6427437411569071,-0.058160842997423225,0.6427437411569056
prim_recolor_count,dsl_primitive_usage,compressarc_top1_failure,19,-0.06900655593423549,0.7789355294743527,-0.06900655593423544,0.7789355294743525
log1p_branch_opcode_count_dynamic,expanded_dynamic_execution,compressarc_top1_failure,391,-0.07439423755263634,0.14200199628860613,-0.039727754758491385,0.4334159167195931
elapsed_ms_per_input_cell,dynamic_execution,compressarc_top1_failure,391,-0.07495086822100162,0.1390350456821089,-0.05092795837559459,0.31515551704367856
elapsed_ms_per_example,dynamic_execution,compressarc_top1_failure,391,-0.0752270136248005,0.13758089580381713,-0.0568589361699485,0.2620237833892266
bundle_python_call_count_dynamic,dynamic_execution,compressarc_top1_failure,391,-0.07536724569963132,0.1368469360856081,-0.01570975006706303,0.7568159113839145
dsl_python_call_count_dynamic,dynamic_execution,compressarc_top1_failure,391,-0.07536734856689188,0.13684639879605304,-0.015881301820798718,0.7542451530679124
elapsed_ms_total,dynamic_execution,compressarc_top1_failure,391,-0.07537610575763456,0.1368006647531607,-0.03989928596509528,0.43143134720652887
bundle_python_calls_per_example,dynamic_execution,compressarc_top1_failure,391,-0.0754697002489774,0.1363126050735602,-0.04852625358695224,0.3385489121015661
