metric,category,outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p
bundle_opcode_count_dynamic,dynamic_execution,compressarc_top1_failure,391,0.18798975282503325,0.0001849437523215899,0.1781076525571075,0.00040178128307076885
solver_opcode_count_dynamic,dynamic_execution,compressarc_top1_failure,391,0.18798975282503325,0.0001849437523215899,0.1781076525571075,0.00040178128307076885
train_pairs,task_shape,compressarc_top1_failure,391,0.18700471332287127,0.00020017370957643222,0.18629819029645586,0.0002118118546257118
geometry_op_count,dsl_structure,compressarc_top1_failure,391,0.18690114729514257,0.00020184142346101297,0.21322945636805818,2.12023997767206e-05
solver_python_call_count_dynamic,dynamic_execution,compressarc_top1_failure,391,0.1767231959499502,0.000446492276303574,0.18039471030910192,0.0003369375433320532
example_count,task_shape,compressarc_top1_failure,391,0.1767231959499502,0.000446492276303574,0.18039471030910192,0.0003369375433320532
bundle_opcode_per_input_cell,dynamic_execution,compressarc_top1_failure,391,0.14640705136968132,0.0037150789711726294,0.17587105699041633,0.00047626781702650233
named_call_count,dsl_structure,compressarc_top1_failure,391,0.14570927477311216,0.0038842168082468165,0.12375356701194555,0.014339142711427442
function_count,expanded_python_static,compressarc_top1_failure,391,0.14373729872443683,0.004400544121298142,0.1508561652247027,0.0027845763366773075
assignment_count,dsl_structure,compressarc_top1_failure,391,0.1437313283722026,0.004402197243632129,0.12385328019708816,0.01426018912332849
ast_call_count,dsl_structure,compressarc_top1_failure,391,0.1437313283722026,0.004402197243632129,0.12385328019708816,0.01426018912332849
temp_var_count,dsl_structure,compressarc_top1_failure,391,0.1437313283722026,0.004402197243632129,0.12385328019708816,0.01426018912332849
selection_op_count,dsl_structure,compressarc_top1_first_correct_step,144,0.22021294912124034,0.00799777390504324,0.08704708568983162,0.2995346265583074
max_dependency_depth,dsl_structure,compressarc_top1_first_correct_step,144,0.18063441621649223,0.03026719042911198,0.2048953115417875,0.013758414626130281
geometry_op_count,dsl_structure,compressarc_top1_first_correct_step,144,0.1761038702333326,0.03474151167890627,0.027601359183627782,0.7426151390629774
assignment_count,dsl_structure,compressarc_top1_first_correct_step,144,0.17599183493140086,0.03485888339701896,0.22771658372993123,0.006052146839622172
ast_call_count,dsl_structure,compressarc_top1_first_correct_step,144,0.17599183493140086,0.03485888339701896,0.22771658372993123,0.006052146839622172
temp_var_count,dsl_structure,compressarc_top1_first_correct_step,144,0.17599183493140086,0.03485888339701896,0.22771658372993123,0.006052146839622172
source_line_count,python_static,compressarc_top1_first_correct_step,144,0.17599183493140086,0.03485888339701896,0.22771658372993123,0.006052146839622172
branch_node_count,python_static,compressarc_top1_first_correct_step,144,0.16438190182750279,0.04897548072202793,0.18392463048281069,0.027333577287186384
named_call_count,dsl_structure,compressarc_top1_first_correct_step,144,0.1639726856521514,0.049549073845682884,0.2203684583299128,0.007952400937015262
closure_call_count,dsl_structure,compressarc_top1_first_correct_step,144,0.16088606262067742,0.05405757416065649,0.1335091162537588,0.11064590377187285
bundle_distinct_function_count_dynamic,dynamic_execution,compressarc_top1_first_correct_step,144,0.15093526038249228,0.07094998936774413,0.23520909836329038,0.0045420575033682286
dsl_distinct_function_count_dynamic,dynamic_execution,compressarc_top1_first_correct_step,144,0.15093526038249228,0.07094998936774413,0.23520909836329038,0.0045420575033682286
peak_memory_bytes,dynamic_execution,compressarc_top1_fraction_correct_steps,391,0.14194792915459406,0.004921847430184742,0.015621367039572048,0.7581414085360528
elapsed_ms_per_output_cell,dynamic_execution,compressarc_top1_fraction_correct_steps,391,0.06888614535523117,0.17402318573881626,-0.0744199270207097,0.14186400864878157
bundle_python_calls_per_example,dynamic_execution,compressarc_top1_fraction_correct_steps,391,0.06340018338017343,0.2109700598956105,0.0033538673635465405,0.9472932016698441
dsl_python_call_count_dynamic,dynamic_execution,compressarc_top1_fraction_correct_steps,391,0.06325953087058567,0.2119864606115095,-0.027974494792219997,0.5812931951003557
bundle_python_call_count_dynamic,dynamic_execution,compressarc_top1_fraction_correct_steps,391,0.06325942887755824,0.2119871989229045,-0.02801164533767053,0.5807911722046868
elapsed_ms_total,dynamic_execution,compressarc_top1_fraction_correct_steps,391,0.06318782155731363,0.21250600990956903,-0.006117068833612734,0.904030782786404
log1p_branch_opcode_count_dynamic,expanded_dynamic_execution,compressarc_top1_fraction_correct_steps,391,0.0631689555839871,0.21264285001049124,-0.007435277412596414,0.8834837457492501
elapsed_ms_per_example,dynamic_execution,compressarc_top1_fraction_correct_steps,391,0.06315278933370307,0.2127601586996723,0.01517359056293182,0.7648676110782595
elapsed_ms_per_input_cell,dynamic_execution,compressarc_top1_fraction_correct_steps,391,0.06112089550802391,0.2278770054076275,0.010198248466967406,0.8406853580410292
output_cells_total,task_shape,compressarc_top1_fraction_correct_steps,391,0.039153023561634345,0.4401036066192446,0.04833769178577913,0.3404314268772949
