metric,category,outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p
complexity_pc1_score,expanded_composite,compressarc_top1_failure,391,0.03637011445688894,0.4733079475287508,0.06631908342846919,0.19066395629071203
dsl_complexity_pc1,composite,compressarc_top1_failure,391,0.08339088020954978,0.09965314010203773,0.08793528135304783,0.08245673412651032
ast_node_count,expanded_python_static,compressarc_top1_failure,391,0.12802451113656346,0.011281677585521475,0.12653605392367256,0.012274570812845654
log1p_branch_opcode_count_dynamic,expanded_dynamic_execution,compressarc_top1_failure,391,-0.07439423755263634,0.14200199628860613,-0.039727754758491385,0.4334159167195931
log1p_cyclomatic_complexity,expanded_python_static,compressarc_top1_failure,391,0.04821484573991837,0.34166145272494525,0.08428057703005937,0.09607908669796726
geometry_op_count,dsl_structure,compressarc_top1_failure,391,0.18690114729514257,0.00020184142346101297,0.21322945636805818,2.12023997767206e-05
solver_opcode_count_dynamic,dynamic_execution,compressarc_top1_failure,391,0.18798975282503325,0.0001849437523215899,0.1781076525571075,0.00040178128307076885
function_count,expanded_python_static,compressarc_top1_failure,391,0.14373729872443683,0.004400544121298142,0.1508561652247027,0.0027845763366773075
complexity_pc1_score,expanded_composite,compressarc_top1_first_correct_step,144,0.12077422874771093,0.14931835600169538,0.21870465667566769,0.008449888828028138
dsl_complexity_pc1,composite,compressarc_top1_first_correct_step,144,0.1408854580416822,0.09212320968945617,0.23058247804079535,0.00542846078395235
ast_node_count,expanded_python_static,compressarc_top1_first_correct_step,144,0.13769698253304122,0.09980242812998445,0.20254621229077793,0.014905705697526249
log1p_branch_opcode_count_dynamic,expanded_dynamic_execution,compressarc_top1_first_correct_step,144,0.059003112446173435,0.48238058604947337,0.16110140448758672,0.05373240897111404
log1p_cyclomatic_complexity,expanded_python_static,compressarc_top1_first_correct_step,144,0.11691655815598828,0.162846422293572,0.1783560785263169,0.03245191807758621
geometry_op_count,dsl_structure,compressarc_top1_first_correct_step,144,0.1761038702333326,0.03474151167890627,0.027601359183627782,0.7426151390629774
solver_opcode_count_dynamic,dynamic_execution,compressarc_top1_first_correct_step,144,0.1147542468807938,0.17081858994156865,0.23741272552637413,0.004167385533351891
function_count,expanded_python_static,compressarc_top1_first_correct_step,144,0.08305811020243103,0.3223100043532923,0.14822516863671292,0.07622750153569549
complexity_pc1_score,expanded_composite,compressarc_top1_fraction_correct_steps,391,-0.05445801408680684,0.2827388100477719,-0.1142594501753862,0.023851975168350477
dsl_complexity_pc1,composite,compressarc_top1_fraction_correct_steps,391,-0.0999595591833684,0.04824618716502157,-0.1382007922124669,0.006197584812314219
ast_node_count,expanded_python_static,compressarc_top1_fraction_correct_steps,391,-0.14820936859817452,0.0033086266045458577,-0.1719153432642633,0.0006402281113561093
log1p_branch_opcode_count_dynamic,expanded_dynamic_execution,compressarc_top1_fraction_correct_steps,391,0.0631689555839871,0.21264285001049124,-0.007435277412596414,0.8834837457492501
log1p_cyclomatic_complexity,expanded_python_static,compressarc_top1_fraction_correct_steps,391,-0.058828428243688294,0.24582989159983273,-0.11648078170609721,0.021237743132253285
geometry_op_count,dsl_structure,compressarc_top1_fraction_correct_steps,391,-0.2019675493734065,5.7610414741515923e-05,-0.22899960240305084,4.771136200759053e-06
solver_opcode_count_dynamic,dynamic_execution,compressarc_top1_fraction_correct_steps,391,-0.1997355101551799,6.978594556573754e-05,-0.2148147642520488,1.8339429559369522e-05
function_count,expanded_python_static,compressarc_top1_fraction_correct_steps,391,-0.16881591739748952,0.0008037025195509379,-0.21555154062766171,1.713747506544322e-05
complexity_pc1_score,expanded_composite,compressarc_top2_failure,391,0.05871210121755919,0.24676650078335793,0.08691528061242575,0.08609154112668867
dsl_complexity_pc1,composite,compressarc_top2_failure,391,0.09043003146619072,0.07408725934498285,0.08426859452526107,0.09612653416064833
ast_node_count,expanded_python_static,compressarc_top2_failure,391,0.15577165255837302,0.0020069526008672685,0.1520195356760479,0.002579102640094311
log1p_branch_opcode_count_dynamic,expanded_dynamic_execution,compressarc_top2_failure,391,-0.050858806040706056,0.31581392575822265,-0.022756788971788455,0.6537175092354199
