task_id,compressarc_top1_solved,compressarc_top2_solved,compressarc_top1_failure,compressarc_top2_failure,compressarc_top1_ever_solved,compressarc_top2_ever_solved,compressarc_top1_fraction_correct_steps,compressarc_top2_fraction_correct_steps,compressarc_top1_first_correct_step,compressarc_top2_first_correct_step
007bbfb7,0,0,1,1,0,0,0.0,0.0,,
00d62c1b,0,0,1,1,0,0,0.0,0.0,,
017c7c7b,0,0,1,1,0,0,0.0,0.0,,
025d127b,1,1,0,0,1,1,0.907,0.9105,186.0,174.0
045e512c,0,0,1,1,0,0,0.0,0.0,,
0520fde7,0,0,1,1,0,0,0.0,0.0,,
05269061,1,1,0,0,1,1,0.9185,0.919,117.0,117.0
05f2a901,0,0,1,1,0,0,0.0,0.0,,
06df4c85,1,1,0,0,1,1,0.7445,0.7755,449.0,449.0
08ed6ac7,1,1,0,0,1,1,0.2865,0.292,1427.0,1416.0
09629e4f,0,0,1,1,0,0,0.0,0.0,,
0962bcdd,1,1,0,0,1,1,0.902,0.906,196.0,188.0
0a938d79,0,0,1,1,0,0,0.0,0.0,,
0b148d64,1,1,0,0,1,1,0.06,0.074,82.0,59.0
0ca9ddb6,1,1,0,0,1,1,0.749,0.749,502.0,502.0
0d3d703e,0,0,1,1,0,0,0.0,0.0,,
0dfd9992,1,1,0,0,1,1,0.9035,0.904,193.0,150.0
0e206a2e,0,0,1,1,0,0,0.0,0.0,,
10fcaaa3,0,0,1,1,0,0,0.0,0.0,,
11852cab,0,0,1,1,0,0,0.0,0.0,,
1190e5a7,0,0,1,1,0,0,0.0,0.0,,
137eaa0f,0,0,1,1,0,0,0.0,0.0,,
150deff5,0,0,1,1,0,0,0.0,0.0,,
178fcbfb,0,0,1,1,0,0,0.0,0.0,,
1a07d186,0,0,1,1,0,0,0.0,0.0,,
1b2d62fb,0,0,1,1,0,0,0.0,0.0,,
1b60fb0c,0,0,1,1,0,0,0.0,0.0,,
1bfc4729,1,1,0,0,1,1,0.8985,0.8985,203.0,203.0
1c786137,1,1,0,0,1,1,0.851,0.8755,298.0,249.0
1caeab9d,0,0,1,1,0,0,0.0,0.0,,
1cf80156,0,0,1,1,0,0,0.0,0.0,,
1e0a9b12,0,0,1,1,0,0,0.0,0.0,,
1e32b0e9,0,0,1,1,0,0,0.0,0.0,,
1f0c79e5,0,0,1,1,0,0,0.0,0.0,,
1f642eb9,1,1,0,0,1,1,0.8115,0.8115,377.0,377.0
1f85a75f,0,0,1,1,0,0,0.0,0.0,,
1f876c06,0,1,1,0,0,1,0.0,0.7945,,316.0
1fad071e,0,0,1,1,0,0,0.0,0.0,,
2013d3e2,0,0,1,1,0,0,0.0,0.0,,
2204b7a8,0,1,1,0,0,1,0.0,0.625,,750.0
22168020,1,1,0,0,1,1,0.891,0.894,206.0,205.0
22233c11,0,0,1,1,0,0,0.0,0.0,,
2281f1f4,0,1,1,0,1,1,0.5,0.873,365.0,254.0
228f6490,0,1,1,0,0,1,0.0,0.1555,,1243.0
22eb0ac0,1,1,0,0,1,1,0.853,0.869,294.0,228.0
234bbc79,0,0,1,1,0,0,0.0,0.0,,
23581191,1,1,0,0,1,1,0.903,0.914,194.0,172.0
239be575,0,0,1,1,1,1,0.0115,0.235,150.0,150.0
23b5c85d,0,0,1,1,0,0,0.0,0.0,,
253bf280,0,0,1,1,0,0,0.0,0.0,,
25d487eb,1,1,0,0,1,1,0.905,0.9055,190.0,189.0
25d8a9c8,1,1,0,0,1,1,0.8855,0.907,229.0,186.0
25ff71a9,0,0,1,1,1,1,0.1575,0.2165,248.0,180.0
264363fd,0,0,1,1,0,0,0.0,0.0,,
272f95fa,1,1,0,0,1,1,0.014,0.0155,1972.0,1969.0
27a28665,0,0,1,1,0,0,0.0,0.0,,
28bf18c6,0,0,1,1,0,0,0.0,0.0,,
28e73c20,0,0,1,1,0,0,0.0,0.0,,
29623171,0,0,1,1,0,0,0.0,0.0,,
29c11459,0,0,1,1,0,0,0.0,0.0,,
29ec7d0e,1,1,0,0,1,1,0.8625,0.863,275.0,274.0
2bcee788,0,0,1,1,0,0,0.0,0.0,,
2bee17df,0,0,1,1,0,0,0.0,0.0,,
2c608aff,0,1,1,0,1,1,0.323,0.333,1334.0,1334.0
2dc579da,0,0,1,1,0,0,0.0,0.0,,
2dd70a9a,0,0,1,1,0,0,0.0,0.0,,
2dee498d,0,0,1,1,0,0,0.0,0.0,,
31aa019c,0,0,1,1,0,0,0.0,0.0,,
321b1fc6,0,0,1,1,0,0,0.0,0.0,,
32597951,1,1,0,0,1,1,0.91,0.9135,180.0,173.0
3345333e,0,0,1,1,0,0,0.0,0.0,,
3428a4f5,0,0,1,1,0,0,0.0,0.0,,
3618c87e,1,1,0,0,1,1,0.9235,0.9325,152.0,134.0
3631a71a,0,0,1,1,0,0,0.0,0.0,,
363442ee,0,0,1,1,0,0,0.0,0.0,,
36d67576,0,0,1,1,0,0,0.0,0.0,,
36fdfd69,1,1,0,0,1,1,0.513,0.6645,677.0,671.0
3906de3d,0,0,1,1,0,0,0.0,0.0,,
39a8645d,0,0,1,1,0,0,0.0,0.0,,
39e1d7f9,0,0,1,1,0,0,0.0,0.0,,
3aa6fb7a,1,1,0,0,1,1,0.9135,0.9245,156.0,146.0
3ac3eb23,1,1,0,0,1,1,0.879,0.879,242.0,242.0
3af2c5a8,0,0,1,1,0,0,0.0,0.0,,
3bd67248,1,1,0,0,1,1,0.9085,0.91,180.0,180.0
3bdb4ada,1,1,0,0,1,1,0.8275,0.85,288.0,270.0
3befdf3e,0,0,1,1,0,0,0.0,0.0,,
3c9b0459,1,1,0,0,1,1,0.8555,0.87,261.0,243.0
3de23699,0,0,1,1,0,0,0.0,0.0,,
3e980e27,0,0,1,1,0,0,0.0,0.0,,
3eda0437,1,1,0,0,1,1,0.5205,0.547,959.0,878.0
3f7978a0,0,0,1,1,0,0,0.0,0.0,,
