metric,n_human,pearson_human,spearman_human,n_llm,pearson_llm,spearman_llm,delta_llm_minus_human,delta_ci_low,delta_ci_high
log1p_elapsed_ms_total,17,-0.014518009564352594,0.14705882352941177,17,0.4767048975632534,0.511971402263254,0.491222907127606,-0.05691574767662172,0.8610624625185933
log1p_elapsed_ms_per_test,17,-0.0426689158769045,0.12500000000000003,17,0.42888013332661196,0.48618866977517644,0.4715490492035165,-0.08809021620490029,0.8369644824074711
branch_opcode_count_dynamic,17,-0.28368390902644985,0.10604393893738073,17,0.16145505693357035,0.43669339618520514,0.4451389659600202,-0.15974459253916332,0.763640338607633
cyclomatic_complexity,17,0.1501773596162751,0.1508277414088387,17,0.5908291579590984,0.6222363417803431,0.4406517983428233,0.013210658293296778,0.9055964598437639
branch_node_count,17,0.07540254770043452,0.11172517411500266,17,0.5145063056865601,0.54920049200492,0.43910375798612555,-0.022728632156606723,0.9083300757320893
elapsed_ms_total,17,-0.30426830441555974,0.14705882352941177,17,0.12891910527091144,0.511971402263254,0.4331874096864712,-0.11482397609696907,0.7660773731391215
opcode_count_dynamic,17,-0.3004859035899104,0.11771921280689852,17,0.11175264631284167,0.4428750270716954,0.41223854990275205,-0.13875555490092326,0.7482517021992848
peak_memory_bytes,17,-0.5704312501858834,-0.41666666666666674,17,-0.15900275723147686,-0.015960739159286096,0.41142849295440653,0.0075972868694042855,0.8305177901864776
complexity_pc1_score,17,0.13540866647631442,0.03676470588235294,17,0.5353600578270644,0.5684478639038048,0.39995139135075,-0.10437559727819763,0.8957995573728362
elapsed_ms_per_test,17,-0.3046005360844138,0.12500000000000003,17,0.08045629426173248,0.48618866977517644,0.38505683034614624,-0.1373338715412297,0.736351742641045
log1p_cyclomatic_complexity,17,0.18633419076660854,0.1508277414088387,17,0.569814455052064,0.6222363417803431,0.38348026428545545,-0.035772781033337836,0.849352140409508
max_nesting_depth,17,-0.018366516754887097,-0.005013806979968224,17,0.34748820028162847,0.4269591674078612,0.36585471703651556,-0.0827416918663413,0.8382583412131112
halstead_effort,17,0.18846756940109968,0.18382352941176472,17,0.531911578838121,0.5365263855852326,0.34344400943702136,-0.12108421472625802,0.8473195173739486
token_count,17,0.2029265975016607,0.2034313725490196,17,0.5241551944654392,0.5402096330835294,0.32122859696377853,-0.1098974130348939,0.795771818085493
halstead_volume,17,0.19573932917126602,0.1936274509803922,17,0.5122639514421993,0.5389818839174304,0.31652462227093325,-0.11371680843003348,0.7927663656083193
log1p_peak_memory_bytes,17,-0.578292564567314,-0.41666666666666674,17,-0.2691396245407887,-0.015960739159286096,0.3091529400265253,-0.060952589968050454,0.7198263769386148
ast_node_count,17,0.23297270723687075,0.232843137254902,17,0.5369686701064884,0.5524871247445187,0.30399596286961766,-0.11526403832037867,0.7793214110321778
log1p_ast_node_count,17,0.22664711398837847,0.232843137254902,17,0.5265852028044022,0.5524871247445187,0.2999380888160238,-0.11379530148018784,0.7701468815159004
output_cells_total,17,-0.16464932016770237,-0.03186274509803922,17,0.12920757657141582,0.15101314743016844,0.2938568967391182,-0.2987329457003827,0.8196419490374854
input_cells_total,17,-0.2542340092527015,-0.27941176470588236,17,0.027996657938398964,-0.02701048165417647,0.28223066719110046,-0.2623371380816706,0.8058516814322616
gzip_bytes,17,0.07573854965072664,-0.08338444240488645,17,0.34397987556274334,0.2579854526631235,0.2682413259120167,-0.1088637839414368,0.7197765696463988
nonblank_lines,17,0.221276384431324,0.16309015940955732,17,0.47410960098791305,0.4699020744935464,0.2528332165565891,-0.15675915927198616,0.735084515717457
call_count_static,17,0.2895370312643217,0.1509203590051683,17,0.4536857498724825,0.43700069717054557,0.16414871860816083,-0.23116452710533975,0.6795753071621488
function_count,17,0.37423187139659925,0.2328834726650591,17,0.20479611525679461,0.1948617671639135,-0.16943575613980463,-0.6153140824276012,0.4077877066400244
