metric,n_human,pearson_human,spearman_human,n_llm,pearson_llm,spearman_llm,delta_llm_minus_human,delta_ci_low,delta_ci_high
branch_node_count,14,-0.11381246025619536,-0.11453772278198128,14,0.4770270334187649,0.49723787261562497,0.5908394936749602,0.11438469030288508,1.0779542806180475
cyclomatic_complexity,14,-0.0164564250834515,-0.01978021978021978,14,0.5502585610384361,0.5689116015569327,0.5667149861218875,0.11256166638006915,1.0657773615198145
halstead_effort,14,-0.03274346411125984,-0.054945054945054944,14,0.5189743408430743,0.5049641734749518,0.5517178049543341,0.06292050197823992,1.0576952754744142
log1p_cyclomatic_complexity,14,0.049114027372506884,-0.01978021978021978,14,0.5314724434698613,0.5689116015569327,0.48235841609735447,0.03472642752476687,1.0045132540826618
log1p_elapsed_ms_total,14,0.03985287841203828,0.11208791208791209,14,0.5185985566848729,0.546860764287284,0.4787456782728346,-0.05805637398383311,0.8876126325733551
log1p_elapsed_ms_per_test,14,-0.014052358496549415,0.06373626373626373,14,0.44986688103574574,0.5203997595637058,0.46391923953229514,-0.07521239860090964,0.8719577998698288
complexity_pc1_score,14,0.06335755254469125,-0.1032967032967033,14,0.5132357440723376,0.5424505968333544,0.4498781915276464,-0.06286879716073535,1.0049052845602222
token_count,14,0.04804606755062622,-0.02857142857142857,14,0.4896393161049676,0.47409300129744386,0.44159324855434134,-0.007404062051734177,0.990661448938654
branch_opcode_count_dynamic,14,-0.2586678244830312,0.028890672318769208,14,0.17610334639642486,0.4582079323811483,0.43477117087945605,-0.2239422741074207,0.789182339617207
elapsed_ms_total,14,-0.2861407983691848,0.11208791208791209,14,0.14005866480898138,0.546860764287284,0.4261994631781662,-0.19526909928737998,0.7950982860009476
ast_node_count,14,0.07787624020482646,0.015384615384615385,14,0.5027446068739501,0.4917336711131627,0.4248683666691236,-0.02651773332174002,0.9818996209201212
halstead_volume,14,0.057535387541964855,-0.006593406593406593,14,0.46908925638318366,0.45424724775476016,0.4115538688412188,-0.045400073557659966,0.9776219801651639
opcode_count_dynamic,14,-0.28485189808682393,0.030803098947639045,14,0.12150190742242253,0.4470209567355753,0.4063538055092465,-0.2006891085419749,0.7764204641993436
log1p_ast_node_count,14,0.0927650059840511,0.015384615384615385,14,0.4968638313293262,0.4917336711131627,0.4040988253452751,-0.04238861239974695,0.9392205209873804
nonblank_lines,14,0.061368028575397485,-0.07692307692307693,14,0.44706162135612865,0.4189659081233225,0.3856935927807312,-0.046805667088779646,0.9454509628421072
elapsed_ms_per_test,14,-0.29345861571259874,0.06373626373626373,14,0.08723410503067351,0.5203997595637058,0.38069272074327226,-0.19359818251320596,0.7614633996380678
peak_memory_bytes,14,-0.4631920536890679,-0.3450549450549451,14,-0.09779287400798028,0.0441016745392971,0.3653991796810876,-0.07813017660882887,0.8570336886861377
max_nesting_depth,14,-0.06664157846086535,0.0,14,0.28691745391888973,0.34245181100719313,0.35355903237975506,-0.2028230587898811,0.8652011406837553
gzip_bytes,14,-0.024878011083161917,-0.20242036451305656,14,0.28463790381911624,0.16777082820693195,0.30951591490227814,-0.09770567130694954,0.8260310583031777
call_count_static,14,0.12653321649530663,-0.06607945545114305,14,0.4094789110651458,0.40773505554481243,0.28294569456983915,-0.16893766818997255,0.9403961878504067
input_cells_total,14,-0.12597032731710095,-0.08131868131868132,14,0.1562130180832713,0.11686943752913734,0.28218334540037227,-0.34207382125635794,0.8614002751756702
log1p_peak_memory_bytes,14,-0.4663620710956115,-0.3450549450549451,14,-0.22133353863519659,0.0441016745392971,0.24502853246041492,-0.15633492483041017,0.747571409578801
output_cells_total,14,-0.06489862519681087,0.07252747252747253,14,0.17017037394393142,0.23814904251220437,0.2350689991407423,-0.39655608786520985,0.7846222765600576
function_count,14,0.4618385152693712,0.15994907704109748,14,0.19823239342769308,0.14070985102776382,-0.2636061218416781,-0.723672431108928,0.4332395065536832
