left_metric,right_metric,n,pearson,spearman
human_solve_rate_weighted,pass_rate_thinking,17,0.5513956884617234,0.5417009289260728
human_solve_rate_weighted,pass_rate_all,17,0.5405659285295044,0.5294072283375157
difficulty_weighted,logit_difficulty_all,17,0.531209423570973,0.5279321414225401
difficulty_weighted,rasch_difficulty_all_models_pooled,17,0.5065960412147102,0.5239267747577794
mean_duration_seconds_weighted,difficulty_weighted,17,0.4249259135161277,0.45098039215686275
gap_vs_lm_mean_weighted,logit_difficulty_all,17,0.2588408321057541,0.24324342679665933
outfit_weighted,rasch_rmsea_x2,17,0.07215922007297974,0.09220908876389602
mean_duration_seconds_weighted,logit_difficulty_all,17,0.05049458227619814,0.0933089366235187
outfit_weighted,rasch_outfit,17,-0.09065522865766931,-0.13725490196078433
mean_duration_seconds_weighted,elapsed_ms_total,17,-0.23818570937688768,-0.14215686274509806
gap_vs_lm_mean_weighted,thinking_advantage,17,-0.26806059741844157,-0.0766871165644172
gap_vs_lm_mean_weighted,pass_rate_all,17,-0.3504686982917825,-0.24324342679665933
point_biserial_weighted,item_total_corr,11,-0.4526707306325883,-0.36363636363636365
