residual_target,probe,n,pearson,spearman
human_difficulty_residual_after_llm,mean_duration_seconds_weighted,17,0.46988156541813136,0.4926470588235295
human_difficulty_residual_after_llm,thinking_advantage,17,0.06805898587435678,-0.08093195880474273
human_difficulty_residual_after_llm,complexity_pc1_score,17,-0.17584101867545004,-0.13970588235294118
human_difficulty_residual_after_llm,cyclomatic_complexity,17,-0.19318794049124902,-0.10545679480617992
human_difficulty_residual_after_llm,runtime_residual_given_structure,17,-0.2759067120825387,-0.31127450980392163
human_difficulty_residual_after_llm,log1p_elapsed_ms_total,17,-0.31602375930475785,-0.07352941176470588
human_difficulty_residual_after_llm,elapsed_ms_total,17,-0.43995928705210535,-0.07352941176470588
human_difficulty_residual_after_llm,gap_vs_lm_mean_weighted,17,-0.8471583901761681,-0.830165698648649
llm_difficulty_residual_after_human,gap_vs_lm_mean_weighted,17,0.6693189688828385,0.6033109656353548
llm_difficulty_residual_after_human,cyclomatic_complexity,17,0.6031976748169638,0.6327407688370795
llm_difficulty_residual_after_human,log1p_elapsed_ms_total,17,0.5717585182611561,0.502450980392157
llm_difficulty_residual_after_human,complexity_pc1_score,17,0.5469871556156727,0.625
llm_difficulty_residual_after_human,elapsed_ms_total,17,0.34293601282940434,0.502450980392157
llm_difficulty_residual_after_human,runtime_residual_given_structure,17,0.24931394164058113,0.2622549019607843
llm_difficulty_residual_after_human,mean_duration_seconds_weighted,17,-0.2068244578900812,-0.16666666666666669
llm_difficulty_residual_after_human,thinking_advantage,17,-0.7683056275665178,-0.6719805064393791
