component,explained_variance_ratio,pearson_r_with_latent_difficulty,spearman_rho_with_latent_difficulty
PC1,0.5742433667435277,0.6294293462543352,0.5934073801990967
PC2,0.1749754814819634,-0.28247397030025856,-0.34611128046982936
PC3,0.09830964629331856,0.16804192635504084,0.17141433530660277
PC4,0.04078788592385039,-0.025381944442866768,0.009831149791650933
PC5,0.030204691134993692,0.24569493238227758,0.26948311989866863
PC6,0.02622379918377731,0.20270618418826225,0.16668423305286914
PC7,0.017732720970923273,-0.041163628550102936,-0.00215805727133801
PC8,0.014957411616477062,-0.007626685441883616,-0.02736964698093762
PC9,0.010112631882457429,-0.12310071744839932,-0.11931177655333682
PC10,0.004530205922467479,0.010606885854721526,0.04144840156061892
PC11,0.0029559428912363786,-0.07352050479210244,-0.10903327451855373
PC12,0.002152945374047745,-0.027139261409814458,-0.09139201269729857
PC13,0.0011460158521322855,0.20366630661322838,0.12619496805728933
PC14,0.0005714742237610945,0.11073003337006486,-0.008460954698737911
PC15,0.00048234106286933973,0.02457625754928373,0.030007272534795182
PC16,0.0003463447559077616,-0.014499432239557306,-0.03935885404392656
PC17,0.00020221450315281624,-0.24193463744713198,-0.2901730658016552
PC18,4.1485874353307496e-05,0.10491994557761526,0.10971837206501026
PC19,2.339430878300212e-05,-0.011823696949812095,0.026924333575740887
