component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.5742433667435277,0.5742433667435277
PC2,0.1749754814819634,0.7492188482254911
PC3,0.09830964629331856,0.8475284945188097
PC4,0.04078788592385039,0.8883163804426601
PC5,0.030204691134993692,0.9185210715776538
PC6,0.02622379918377731,0.9447448707614311
PC7,0.017732720970923273,0.9624775917323544
PC8,0.014957411616477062,0.9774350033488314
PC9,0.010112631882457429,0.9875476352312889
PC10,0.004530205922467479,0.9920778411537563
PC11,0.0029559428912363786,0.9950337840449927
PC12,0.002152945374047745,0.9971867294190404
PC13,0.0011460158521322855,0.9983327452711727
PC14,0.0005714742237610945,0.9989042194949338
PC15,0.00048234106286933973,0.9993865605578032
PC16,0.0003463447559077616,0.999732905313711
PC17,0.00020221450315281624,0.9999351198168638
PC18,4.1485874353307496e-05,0.999976605691217
PC19,2.339430878300212e-05,1.0
