metric,pearson_r,spearman_rho,abs_pearson_r
ast_node_count,0.6657651819409323,0.6367514218879999,0.6657651819409323
token_count,0.6596399437155099,0.6154441599763184,0.6596399437155099
halstead_volume,0.6526962110139292,0.60818187778134,0.6526962110139292
branch_node_count,0.6441398748934914,0.611535389691096,0.6441398748934914
cyclomatic_complexity,0.643300568140091,0.6475788446371733,0.643300568140091
nonblank_lines,0.6358803641287939,0.5986480098610449,0.6358803641287939
max_nesting_depth,0.6002795733493677,0.5754143788204262,0.6002795733493677
gzip_bytes,0.5968153148918336,0.569567917185125,0.5968153148918336
call_count_static,0.5428208119049638,0.5236951428881993,0.5428208119049638
output_cells_total,0.382114079236296,0.46628704636233786,0.382114079236296
input_cells_total,0.3730987743406166,0.4211706625396906,0.3730987743406166
peak_memory_bytes,0.37211292296801085,0.553646249222824,0.37211292296801085
function_count,0.2633387215145933,0.24311686538146163,0.2633387215145933
python_call_count_dynamic,0.23723323362439636,0.36023983285859207,0.23723323362439636
elapsed_ms_per_test,0.19649526873517872,0.4084006053232588,0.19649526873517872
opcode_per_input_cell,0.1820018950311983,0.08002349589778075,0.1820018950311983
opcode_count_dynamic,0.18043450718577547,0.24726438073209828,0.18043450718577547
elapsed_ms_per_input_cell,0.16593956738822047,0.05713908821331955,0.16593956738822047
branch_opcode_count_dynamic,0.15467622133529715,0.24495015430512115,0.15467622133529715
