metric,n,pearson_r,spearman_rho,abs_pearson_r,abs_spearman_rho
ast_node_count,56,0.6657651819409323,0.6367514218879998,0.6657651819409323,0.6367514218879998
halstead_length,56,0.6600601901372681,0.6236656115178032,0.6600601901372681,0.6236656115178032
token_count,56,0.6596399437155096,0.6154441599763184,0.6596399437155096,0.6154441599763184
halstead_total_operators,56,0.6594348452713569,0.6173322145618129,0.6594348452713569,0.6173322145618129
halstead_total_operands,56,0.6576670664372788,0.6225323021129986,0.6576670664372788,0.6225323021129986
halstead_volume,56,0.6526962110139293,0.6081818777813401,0.6526962110139293,0.6081818777813401
branch_node_count,56,0.6441398748934913,0.611535389691096,0.6441398748934913,0.611535389691096
cyclomatic_complexity,56,0.643300568140091,0.6475788446371732,0.643300568140091,0.6475788446371732
halstead_effort,56,0.6410421812919762,0.641307476283906,0.6410421812919762,0.641307476283906
nonblank_lines,56,0.6358803641287937,0.5986480098610448,0.6358803641287937,0.5986480098610448
halstead_difficulty,56,0.6347670277149557,0.6271254723748447,0.6347670277149557,0.6271254723748447
comment_lines,56,0.6333141389483847,0.6202972807657414,0.6333141389483847,0.6202972807657414
file_bytes,56,0.6302516506976388,0.6107101340401054,0.6302516506976388,0.6107101340401054
total_lines,56,0.6291621672796225,0.6011627944694301,0.6291621672796225,0.6011627944694301
max_nesting_depth,56,0.600279573349368,0.5754143788204261,0.600279573349368,0.5754143788204261
gzip_bytes,56,0.5968153148918334,0.5695679171851249,0.5968153148918334,0.5695679171851249
halstead_distinct_operators,56,0.5932634456529052,0.5757731948034327,0.5932634456529052,0.5757731948034327
halstead_vocabulary,56,0.5743374496026142,0.5816294899713962,0.5743374496026142,0.5816294899713962
variant_count,56,-0.5609008180972891,-0.5625502106272435,0.5609008180972891,0.5625502106272435
halstead_distinct_operands,56,0.5542601277232659,0.5641921110747765,0.5542601277232659,0.5641921110747765
call_count_static,56,0.5428208119049637,0.5236951428881993,0.5428208119049637,0.5236951428881993
output_cells_total,56,0.3821140792362959,0.46628704636233786,0.3821140792362959,0.46628704636233786
comprehension_count,56,0.38155688024724677,0.4430627829949018,0.38155688024724677,0.4430627829949018
input_cells_total,56,0.3730987743406168,0.42117066253969054,0.3730987743406168,0.42117066253969054
peak_memory_bytes,56,0.372112922968011,0.553646249222824,0.372112922968011,0.553646249222824
test_case_count,56,-0.351807348817348,-0.4084576468150485,0.351807348817348,0.4084576468150485
test_case_count_total,56,-0.351807348817348,-0.4084576468150485,0.351807348817348,0.4084576468150485
current_memory_bytes,56,0.3185773705388877,0.5615936523795927,0.3185773705388877,0.5615936523795927
function_count,56,0.26333872151459325,0.2431168653814616,0.26333872151459325,0.2431168653814616
python_call_count_dynamic,56,0.2372332336243963,0.3602398328585921,0.2372332336243963,0.3602398328585921
python_calls_per_input_cell,56,0.21561885077302398,0.20274115191990072,0.21561885077302398,0.20274115191990072
elapsed_ms_per_test,56,0.19649526873517867,0.4084006053232588,0.19649526873517867,0.4084006053232588
opcode_per_input_cell,56,0.18200189503119826,0.08002349589778075,0.18200189503119826,0.08002349589778075
opcode_count_dynamic,56,0.1804345071857754,0.24726438073209825,0.1804345071857754,0.24726438073209825
branch_opcode_per_input_cell,56,0.17101404473040716,0.10297462589994522,0.17101404473040716,0.10297462589994522
elapsed_ms_per_input_cell,56,0.16593956738822038,0.05713908821331955,0.16593956738822038,0.05713908821331955
elapsed_ms_total,56,0.157917947722646,0.31347709606719854,0.157917947722646,0.31347709606719854
elapsed_ns_total,56,0.15791794772264597,0.31347709606719854,0.15791794772264597,0.31347709606719854
branch_opcode_count_dynamic,56,0.15467622133529715,0.24495015430512113,0.15467622133529715,0.24495015430512113
mean_line_length,56,-0.12257273590304302,-0.13637332744437958,0.12257273590304302,0.13637332744437958
max_line_length,56,-0.011271811554638226,-0.022682093043841382,0.011271811554638226,0.022682093043841382
