k_models,subset_size,draw_id,complexity_metric,pearson_r,difficulty_vs_full_r
1,1,claude-haiku-4-5-20251001,log1p_cyclomatic_complexity,0.5869344226591202,0.58323567727292
1,1,claude-haiku-4-5-20251001,ast_node_count,0.40375187056023887,0.58323567727292
1,1,claude-haiku-4-5-20251001,complexity_pc1_score,0.5047085455407678,0.58323567727292
1,1,claude-haiku-4-5-20251001-thinking-16k,log1p_cyclomatic_complexity,0.3900754017095656,0.5105869344329338
1,1,claude-haiku-4-5-20251001-thinking-16k,ast_node_count,0.45462914020455064,0.5105869344329338
1,1,claude-haiku-4-5-20251001-thinking-16k,complexity_pc1_score,0.3767564770186283,0.5105869344329338
1,1,claude-haiku-4-5-20251001-thinking-1k,log1p_cyclomatic_complexity,0.5906792004020472,0.6096172855916221
1,1,claude-haiku-4-5-20251001-thinking-1k,ast_node_count,0.4398799313361893,0.6096172855916221
1,1,claude-haiku-4-5-20251001-thinking-1k,complexity_pc1_score,0.5311549273228515,0.6096172855916221
1,1,claude-haiku-4-5-20251001-thinking-32k,log1p_cyclomatic_complexity,0.3218611869220997,0.4536220432371275
1,1,claude-haiku-4-5-20251001-thinking-32k,ast_node_count,0.29299827143162277,0.4536220432371275
1,1,claude-haiku-4-5-20251001-thinking-32k,complexity_pc1_score,0.312691321951151,0.4536220432371275
1,1,claude-haiku-4-5-20251001-thinking-8k,log1p_cyclomatic_complexity,0.4725704685650886,0.5681154784626103
1,1,claude-haiku-4-5-20251001-thinking-8k,ast_node_count,0.4193575813775068,0.5681154784626103
1,1,claude-haiku-4-5-20251001-thinking-8k,complexity_pc1_score,0.41390079736538293,0.5681154784626103
1,1,claude-sonnet-4-5-20250929,log1p_cyclomatic_complexity,0.45725253520406506,0.5327821610251341
1,1,claude-sonnet-4-5-20250929,ast_node_count,0.4730256673271901,0.5327821610251341
1,1,claude-sonnet-4-5-20250929,complexity_pc1_score,0.38060079181800116,0.5327821610251341
1,1,claude-sonnet-4-5-20250929-thinking-16k,log1p_cyclomatic_complexity,0.39305102473826736,0.4247732466561416
1,1,claude-sonnet-4-5-20250929-thinking-16k,ast_node_count,0.46017323188044623,0.4247732466561416
1,1,claude-sonnet-4-5-20250929-thinking-16k,complexity_pc1_score,0.3390935833787294,0.4247732466561416
1,1,claude-sonnet-4-5-20250929-thinking-1k,log1p_cyclomatic_complexity,0.5614228595281063,0.554616483387153
1,1,claude-sonnet-4-5-20250929-thinking-1k,ast_node_count,0.5017313974933917,0.554616483387153
1,1,claude-sonnet-4-5-20250929-thinking-1k,complexity_pc1_score,0.5150454062937854,0.554616483387153
1,1,claude-sonnet-4-5-20250929-thinking-32k,log1p_cyclomatic_complexity,0.15489757826392073,0.3320614521343824
1,1,claude-sonnet-4-5-20250929-thinking-32k,ast_node_count,0.10194822924169532,0.3320614521343824
1,1,claude-sonnet-4-5-20250929-thinking-32k,complexity_pc1_score,0.13912735339888424,0.3320614521343824
1,1,claude-sonnet-4-5-20250929-thinking-8k,log1p_cyclomatic_complexity,0.4229763468947777,0.5287007270513162
1,1,claude-sonnet-4-5-20250929-thinking-8k,ast_node_count,0.3863027161931079,0.5287007270513162
1,1,claude-sonnet-4-5-20250929-thinking-8k,complexity_pc1_score,0.39552311859109607,0.5287007270513162
1,1,gemini-3-deep-think-preview,log1p_cyclomatic_complexity,0.10067909939461674,0.224029514907564
1,1,gemini-3-deep-think-preview,ast_node_count,0.10554867444190284,0.224029514907564
1,1,gemini-3-deep-think-preview,complexity_pc1_score,0.09519212538811256,0.224029514907564
1,1,gemini-3-pro-preview,log1p_cyclomatic_complexity,0.3115889052638449,0.35801395028180033
1,1,gemini-3-pro-preview,ast_node_count,0.32786389355658935,0.35801395028180033
1,1,gemini-3-pro-preview,complexity_pc1_score,0.31266358071297057,0.35801395028180033
1,1,gpt-4-1-2025-04-14,log1p_cyclomatic_complexity,0.3191757809302029,0.6763545031589913
1,1,gpt-4-1-2025-04-14,ast_node_count,0.14926014992465605,0.6763545031589913
1,1,gpt-4-1-2025-04-14,complexity_pc1_score,0.16999400182056995,0.6763545031589913
1,1,gpt-4-1-mini-2025-04-14,log1p_cyclomatic_complexity,0.4373874266692925,0.722426031947598
1,1,gpt-4-1-mini-2025-04-14,ast_node_count,0.19331487151668264,0.722426031947598
1,1,gpt-4-1-mini-2025-04-14,complexity_pc1_score,0.33493966703856903,0.722426031947598
1,1,gpt-4-1-nano-2025-04-14,log1p_cyclomatic_complexity,0.4851822850203395,0.8061744254417413
1,1,gpt-4-1-nano-2025-04-14,ast_node_count,0.1846971237821818,0.8061744254417413
