dataset_key,model_name,model_type,accuracy,pc1_theta
arc_agi_1_eval,claude-haiku-4-5-20251001,Standard,0.2225,-4.168614114810502
arc_agi_1_eval,claude-haiku-4-5-20251001-thinking-16k,Thinking,0.4175,1.5348857649327374
arc_agi_1_eval,claude-haiku-4-5-20251001-thinking-1k,Thinking,0.22,-4.059277798565538
arc_agi_1_eval,claude-haiku-4-5-20251001-thinking-32k,Thinking,0.5575,4.772767001503989
arc_agi_1_eval,claude-haiku-4-5-20251001-thinking-8k,Thinking,0.3425,-0.8838388964600613
arc_agi_1_eval,claude-sonnet-4-5-20250929,Standard,0.2875,-2.3741700202272913
arc_agi_1_eval,claude-sonnet-4-5-20250929-thinking-16k,Thinking,0.56,4.733801821102472
arc_agi_1_eval,claude-sonnet-4-5-20250929-thinking-1k,Thinking,0.3,-2.1448599492912503
arc_agi_1_eval,claude-sonnet-4-5-20250929-thinking-32k,Thinking,0.65,6.481729344715851
arc_agi_1_eval,claude-sonnet-4-5-20250929-thinking-8k,Thinking,0.4625,2.2002464204018577
arc_agi_1_eval,gemini-3-deep-think-preview,Thinking,0.8975,9.791747805964311
arc_agi_1_eval,gemini-3-pro-preview,Thinking,0.8,8.843259951417773
arc_agi_1_eval,gpt-4-1-2025-04-14,Standard,0.0975,-6.706344290466497
arc_agi_1_eval,gpt-4-1-mini-2025-04-14,Standard,0.0525,-7.246273558941496
arc_agi_1_eval,gpt-4-1-nano-2025-04-14,Standard,0.005,-7.717146503088478
arc_agi_1_eval,gpt-4-5-2025-02-27,Standard,0.1325,-6.011790384615968
arc_agi_1_eval,gpt-5-1-2025-11-13-thinking-high,Thinking,0.6775,6.8504226369621595
arc_agi_1_eval,gpt-5-1-2025-11-13-thinking-low,Thinking,0.3525,-0.4776862312181917
arc_agi_1_eval,gpt-5-1-2025-11-13-thinking-medium,Thinking,0.6125,5.761565563517782
arc_agi_1_eval,gpt-5-1-2025-11-13-thinking-none,Standard,0.095,-6.7836926077354045
arc_agi_1_eval,gpt-5-pro-2025-10-06,Thinking,0.7225,7.876871841189777
arc_agi_1_eval,grok-4-fast-reasoning,Thinking,0.47,2.3795314026656778
