"model","rasch_theta"
"QwQ-32B-Fireworks",-4.69228331379653
"claude-haiku-4-5-20251001",-2.13819277973851
"claude-haiku-4-5-20251001-thinking-16k",-0.17530727997295
"claude-haiku-4-5-20251001-thinking-1k",-2.16723424442932
"claude-haiku-4-5-20251001-thinking-32k",1.08748185559541
"claude-haiku-4-5-20251001-thinking-8k",-0.854549789323343
"claude-opus-4-5-20251101-thinking-16k",3.41570968080268
"claude-opus-4-5-20251101-thinking-1k",-0.0904978747041942
"claude-opus-4-5-20251101-thinking-32k",3.74743302556805
"claude-opus-4-5-20251101-thinking-64k",4.76033622949086
"claude-opus-4-5-20251101-thinking-8k",1.86707450855195
"claude-opus-4-5-20251101-thinking-none",-0.709929706279014
"claude-sonnet-4-5-20250929",-1.36149137767012
"claude-sonnet-4-5-20250929-thinking-16k",1.13127941453916
"claude-sonnet-4-5-20250929-thinking-1k",-1.2621394372856
"claude-sonnet-4-5-20250929-thinking-32k",2.02879834379219
"claude-sonnet-4-5-20250929-thinking-8k",0.283862648640063
"gemini-3-deep-think-preview",5.6064543257805
"gemini-3-flash-preview-thinking-high",3.85088718086142
"gemini-3-flash-preview-thinking-low",-3.26457938802428
"gemini-3-flash-preview-thinking-medium",1.86707450855195
"gemini-3-flash-preview-thinking-minimal",-0.709929706279014
"gemini-3-pro-preview",3.83580191659614
"gpt-4-1-2025-04-14",-3.98413864736721
"gpt-4-1-mini-2025-04-14",-5.15760568446079
"gpt-4-1-nano-2025-04-14",-5.95571277187587
"gpt-4-5-2025-02-27",-3.34251689895231
"gpt-5-1-2025-11-13-thinking-high",2.30936725228652
"gpt-5-1-2025-11-13-thinking-low",-0.784691316633661
"gpt-5-1-2025-11-13-thinking-medium",1.6188857550586
"gpt-5-1-2025-11-13-thinking-none",-4.035914453865
"gpt-5-2-2025-12-11-thinking-high",4.32887468202098
"gpt-5-2-2025-12-11-thinking-low",1.09692263154744
"gpt-5-2-2025-12-11-thinking-medium",3.2965468249652
"gpt-5-2-2025-12-11-thinking-none",-3.26457938802428
"gpt-5-2-2025-12-11-thinking-xhigh",5.89859658392733
"gpt-5-2-pro-2025-12-11-high",5.8822938968673
"gpt-5-2-pro-2025-12-11-medium",4.76033622949086
"gpt-5-pro-2025-10-06",2.74357327403792
"grok-4-fast-reasoning",0.327273804343063
"qwen3-235b-a22b-instruct-2507",-3.00587165447851
