sample,outcome,metric,metric_label,estimate,ci_low,ci_high,p_value,n,q_value_bh
ARC-1 approved eval,arc1_non_llm_logit_difficulty,gzip_bytes,Gzip bytes,0.36606931593922065,0.10503471125723378,0.5775232137085836,0.02649558406932178,38,0.19080153307782036
ARC-1 approved eval,arc1_non_llm_logit_difficulty,nonblank_lines,Nonblank LOC,0.29710526986553276,0.0035828000816752136,0.5325174992396638,0.061823029495084156,38,0.19080153307782036
ARC-1 approved eval,arc1_non_llm_logit_difficulty,halstead_volume,Halstead volume,0.273424402340524,-0.026714951712780564,0.5192750628996028,0.09331778036993835,38,0.19080153307782036
ARC-1 approved eval,arc1_non_llm_logit_difficulty,complexity_pc1_score,Complexity PC1,0.26878961503799736,-0.03434884232278841,0.5258912906193648,0.1066488918513581,38,0.19080153307782036
ARC-1 approved eval,arc1_non_llm_logit_difficulty,cyclomatic_complexity,Cyclomatic complexity,0.25504188076058876,-0.02873815232841858,0.5177003595708769,0.12264622562906183,38,0.19080153307782036
ARC-1 approved eval,arc1_non_llm_logit_difficulty,ast_node_count,AST node count,0.25058188924135877,-0.05102887925362204,0.5154298527870079,0.13147808698550242,38,0.19080153307782036
ARC-1 approved eval,arc1_non_llm_logit_difficulty,token_count,Token count,0.24817067558342384,-0.06839223133976241,0.5066708563930991,0.13381103149475088,38,0.19080153307782036
ARC-1 approved eval,arc1_non_llm_logit_difficulty,log1p_opcode_count_dynamic,log(1+dynamic opcodes),0.22246379605214991,-0.10730797090588295,0.49872406466475766,0.17847025495750707,38,0.19080153307782036
ARC-1 approved eval,arc1_non_llm_logit_difficulty,log1p_elapsed_ms_per_test,log(1+elapsed ms / test),0.22103146852140737,-0.10623331392636658,0.4969146111412367,0.17830361606398934,38,0.19080153307782036
ARC-1 approved eval,arc1_non_llm_logit_difficulty,log1p_elapsed_ms_total,log(1+elapsed ms total),0.21815851273614212,-0.11240474586033138,0.4961767090527155,0.19080153307782036,38,0.19080153307782036
ARC-1 approved eval,arc1_non_llm_rasch_difficulty,gzip_bytes,Gzip bytes,0.3634170361010232,0.10527604193656996,0.5793353155189956,0.026162306282286284,38,0.183136143976004
ARC-1 approved eval,arc1_non_llm_rasch_difficulty,nonblank_lines,Nonblank LOC,0.29716794358239274,0.008946891608786629,0.5344835361233193,0.06615564072654558,38,0.183136143976004
ARC-1 approved eval,arc1_non_llm_rasch_difficulty,halstead_volume,Halstead volume,0.2723705897464945,-0.02495107155498425,0.5183129047580481,0.1044825862356274,38,0.183136143976004
