dataset_label,complexity_metric,outcome_metric,n,pearson_r,spearman_rho,new_dataset_label,old_overlap56_r,old_overlap56_n,new_r,new_n,fisher_z_vs_old_overlap56,fisher_p_vs_old_overlap56,old_arc1_eval_r,old_arc1_eval_n,fisher_z_vs_old_arc1_eval,fisher_p_vs_old_arc1_eval
old_overlap56_many_model,log1p_cyclomatic_complexity,logit_difficulty_all,56,0.707074332222679,0.6608933770772157,,,,,,,,,,,
old_arc1_eval_many_model,log1p_cyclomatic_complexity,logit_difficulty_all,38,0.6804465542634268,0.5966524656863404,,,,,,,,,,,
new_arc1_train_full_two_model,log1p_cyclomatic_complexity,pooled_pair_difficulty,391,0.3220452302642782,0.29822923367301984,new_arc1_train_full_two_model,0.707074332222679,56.0,0.3220452302642782,391.0,3.7378727223465167,0.0001855838487370119,0.6804465542634268,38.0,2.810457244920051,0.004947116138984883
new_arc1_train_gap30_two_model,log1p_cyclomatic_complexity,pooled_pair_difficulty,96,0.38891966315626453,0.37081084435087114,new_arc1_train_gap30_two_model,0.707074332222679,56.0,0.38891966315626453,96.0,2.735413439560986,0.006230196982593977,0.6804465542634268,38.0,2.1150382033282127,0.03442669138346714
new_arc1_train_full_human,log1p_cyclomatic_complexity,human_difficulty_complete,391,0.06417602619693141,0.05462545796841193,new_arc1_train_full_human,0.707074332222679,56.0,0.06417602619693141,391.0,5.579305347233769,2.414810085326792e-08,0.6804465542634268,38.0,4.338378708617921,1.4353766439937685e-05
new_arc1_train_gap30_human,log1p_cyclomatic_complexity,human_difficulty_complete,96,0.31595442240538446,0.32738559755323277,new_arc1_train_gap30_human,0.707074332222679,56.0,0.31595442240538446,96.0,3.219881595701226,0.00128243553426635,0.6804465542634268,38.0,2.535506026814489,0.01122849963331006
old_overlap56_many_model,ast_node_count,logit_difficulty_all,56,0.6117240359825573,0.629908510536568,,,,,,,,,,,
old_arc1_eval_many_model,ast_node_count,logit_difficulty_all,38,0.5403242659019238,0.5333931021508884,,,,,,,,,,,
new_arc1_train_full_two_model,ast_node_count,pooled_pair_difficulty,391,0.32973674932779923,0.3081442343674225,new_arc1_train_full_two_model,0.6117240359825573,56.0,0.32973674932779923,391.0,2.5207178300021638,0.01171157246884665,0.5403242659019238,38.0,1.48495938092247,0.13755458441444057
new_arc1_train_gap30_two_model,ast_node_count,pooled_pair_difficulty,96,0.435458632842914,0.3746446690386611,new_arc1_train_gap30_two_model,0.6117240359825573,56.0,0.435458632842914,96.0,1.4238789564650673,0.15448151441124716,0.5403242659019238,38.0,0.6959066956441978,0.48648726386477426
new_arc1_train_full_human,ast_node_count,human_difficulty_complete,391,0.14321871640154485,0.12712254082744756,new_arc1_train_full_human,0.6117240359825573,56.0,0.14321871640154485,391.0,3.874993034751018,0.00010662774937008501,0.5403242659019238,38.0,2.6086638950728576,0.009089647215521801
new_arc1_train_gap30_human,ast_node_count,human_difficulty_complete,96,0.39767686731656726,0.3256993834282427,new_arc1_train_gap30_human,0.6117240359825573,56.0,0.39767686731656726,96.0,1.6895673039523291,0.09111076555009104,0.5403242659019238,38.0,0.9264964666699258,0.35418803248505537
old_overlap56_many_model,complexity_pc1_score,logit_difficulty_all,56,0.6405723103729972,0.6108462123924145,,,,,,,,,,,
old_arc1_eval_many_model,complexity_pc1_score,logit_difficulty_all,38,0.6089134264453155,0.5582862424034073,,,,,,,,,,,
new_arc1_train_full_two_model,complexity_pc1_score,pooled_pair_difficulty,391,0.3652783352105745,0.32034904791464824,new_arc1_train_full_two_model,0.6405723103729972,56.0,0.3652783352105745,391.0,2.56880084251441,0.010205108854903187,0.6089134264453155,38.0,1.8370958146863698,0.06619575193002028
new_arc1_train_gap30_two_model,complexity_pc1_score,pooled_pair_difficulty,96,0.43031591950032017,0.4069114421678096,new_arc1_train_gap30_two_model,0.6405723103729972,56.0,0.43031591950032017,96.0,1.7364803323647007,0.08247893898544474,0.6089134264453155,38.0,1.2451059678075982,0.21309280075111492
new_arc1_train_full_human,complexity_pc1_score,human_difficulty_complete,391,0.12518183293980645,0.13473041390469234,new_arc1_train_full_human,0.6405723103729972,56.0,0.12518183293980645,391.0,4.324592635261265,1.5281398064543667e-05,0.6089134264453155,38.0,3.293957135413073,0.000987875620117019
new_arc1_train_gap30_human,complexity_pc1_score,human_difficulty_complete,96,0.33784070877700756,0.3335187194791101,new_arc1_train_gap30_human,0.6405723103729972,56.0,0.33784070877700756,96.0,2.3676672791030597,0.017900625846461637,0.6089134264453155,38.0,1.7929103969416402,0.07298725262064265
