task_id,num_models_thinking,num_models_standard,thinking_successes,standard_successes,pass_rate_thinking,pass_rate_standard,thinking_advantage,thinking_logit_advantage,both_zero_successes,thinking_zero_successes,standard_zero_successes,dataset_key,schema
00576224,15,9,15,9,1.0,1.0,0.0,0.4895482253187069,0,0,0,arc_agi_1_eval,legacy
009d5c81,15,9,13,2,0.8666666666666667,0.2222222222222222,0.6444444444444445,2.7850112422383386,0,0,0,arc_agi_1_eval,legacy
00dbd492,15,9,12,1,0.8,0.1111111111111111,0.6888888888888889,3.0075667312009937,0,0,0,arc_agi_1_eval,legacy
03560426,15,9,8,0,0.5333333333333333,0.0,0.5333333333333333,3.0696021221204464,0,0,1,arc_agi_1_eval,legacy
05a7bcf2,15,9,3,0,0.2,0.0,0.2,1.671473303353553,0,0,1,arc_agi_1_eval,legacy
0607ce86,15,9,13,5,0.8666666666666667,0.5555555555555556,0.3111111111111111,1.4857282581080775,0,0,0,arc_agi_1_eval,legacy
0692e18c,15,9,11,0,0.7333333333333333,0.0,0.7333333333333333,3.8827086177593704,0,0,1,arc_agi_1_eval,legacy
070dd51e,15,9,11,3,0.7333333333333333,0.3333333333333333,0.39999999999999997,1.5573088469991538,0,0,0,arc_agi_1_eval,legacy
08573cc6,15,9,3,0,0.2,0.0,0.2,1.671473303353553,0,0,1,arc_agi_1_eval,legacy
0934a4d8,15,9,0,0,0.0,0.0,0.0,-0.489548225318706,1,1,1,arc_agi_1_eval,legacy
09c534e7,15,9,0,0,0.0,0.0,0.0,-0.489548225318706,1,1,1,arc_agi_1_eval,legacy
0a1d4ef5,15,9,11,0,0.7333333333333333,0.0,0.7333333333333333,3.8827086177593704,0,0,1,arc_agi_1_eval,legacy
0a2355a6,15,9,4,0,0.26666666666666666,0.0,0.26666666666666666,2.00616934057351,0,0,1,arc_agi_1_eval,legacy
0b17323b,15,9,15,3,1.0,0.3333333333333333,0.6666666666666667,4.05302641289137,0,0,0,arc_agi_1_eval,legacy
0bb8deee,15,9,12,2,0.8,0.2222222222222222,0.5777777777777778,2.3715779644809976,0,0,0,arc_agi_1_eval,legacy
0becf7df,15,9,11,1,0.7333333333333333,0.1111111111111111,0.6222222222222222,2.6728706939810367,0,0,0,arc_agi_1_eval,legacy
0c786b71,15,9,14,2,0.9333333333333333,0.2222222222222222,0.7111111111111111,3.3672958299864737,0,0,0,arc_agi_1_eval,legacy
0c9aba6e,15,9,13,0,0.8666666666666667,0.0,0.8666666666666667,4.630837932736669,0,0,1,arc_agi_1_eval,legacy
0d87d2a6,15,9,0,0,0.0,0.0,0.0,-0.489548225318706,1,1,1,arc_agi_1_eval,legacy
0e671a1a,15,9,7,0,0.4666666666666667,0.0,0.4666666666666667,2.819275836212434,0,0,1,arc_agi_1_eval,legacy
0f63c0b9,15,9,11,0,0.7333333333333333,0.0,0.7333333333333333,3.8827086177593704,0,0,1,arc_agi_1_eval,legacy
103eff5b,15,9,7,0,0.4666666666666667,0.0,0.4666666666666667,2.819275836212434,0,0,1,arc_agi_1_eval,legacy
11e1fe23,15,9,4,0,0.26666666666666666,0.0,0.26666666666666666,2.00616934057351,0,0,1,arc_agi_1_eval,legacy
12422b43,15,9,15,2,1.0,0.2222222222222222,0.7777777777777778,4.532599493153256,0,0,0,arc_agi_1_eval,legacy
12997ef3,15,9,14,1,0.9333333333333333,0.1111111111111111,0.8222222222222222,4.003284596706471,0,0,0,arc_agi_1_eval,legacy
12eac192,15,9,9,0,0.6,0.0,0.6,3.323928600871344,0,0,1,arc_agi_1_eval,legacy
136b0064,15,9,3,0,0.2,0.0,0.2,1.671473303353553,0,0,1,arc_agi_1_eval,legacy
13713586,15,9,6,0,0.4,0.0,0.4,2.5649493574615367,0,0,1,arc_agi_1_eval,legacy
137f0df0,15,9,10,0,0.6666666666666666,0.0,0.6666666666666666,3.5910661440914926,0,0,1,arc_agi_1_eval,legacy
140c817e,15,9,11,0,0.7333333333333333,0.0,0.7333333333333333,3.8827086177593704,0,0,1,arc_agi_1_eval,legacy
14754a24,15,9,0,0,0.0,0.0,0.0,-0.489548225318706,1,1,1,arc_agi_1_eval,legacy
15113be4,15,9,2,0,0.13333333333333333,0.0,0.13333333333333333,1.2580400255962114,0,0,1,arc_agi_1_eval,legacy
15663ba9,15,9,2,0,0.13333333333333333,0.0,0.13333333333333333,1.2580400255962114,0,0,1,arc_agi_1_eval,legacy
15696249,15,9,10,0,0.6666666666666666,0.0,0.6666666666666666,3.5910661440914926,0,0,1,arc_agi_1_eval,legacy
16b78196,15,9,0,0,0.0,0.0,0.0,-0.489548225318706,1,1,1,arc_agi_1_eval,legacy
17b80ad2,15,9,8,0,0.5333333333333333,0.0,0.5333333333333333,3.0696021221204464,0,0,1,arc_agi_1_eval,legacy
17cae0c1,15,9,13,1,0.8666666666666667,0.1111111111111111,0.7555555555555555,3.4210000089583352,0,0,0,arc_agi_1_eval,legacy
18419cfa,15,9,2,0,0.13333333333333333,0.0,0.13333333333333333,1.2580400255962114,0,0,1,arc_agi_1_eval,legacy
184a9768,15,9,0,0,0.0,0.0,0.0,-0.489548225318706,1,1,1,arc_agi_1_eval,legacy
